🔧 Running on node: g001
📆 Start time: Thu Oct 23 20:25:30 CEST 2025
🧪 Job name: l2ra | Job ID: 913151
📂 Experiment dir: learning_to_re_adapt/outputs/2025-10-23/mb_mpc_hopper_sanity_3
Starting MB-MPC training
Pretrain Epoch 10/30 | Loss: 0.13806
Pretrain Epoch 20/30 | Loss: 0.07021
Pretrain Epoch 30/30 | Loss: 0.03459
Iter 1 | reward=9.64 | loss=0.02239 | iter_time=0.84s
Iter 68 | reward=6.53 | loss=0.00933 | iter_time=0.43s
Iter 69 | reward=15.54 | loss=0.01169 | iter_time=0.99s
Iter 70 | reward=5.37 | loss=0.00934 | iter_time=0.60s
Iter 71 | reward=14.32 | loss=0.00913 | iter_time=1.17s
Iter 72 | reward=18.25 | loss=0.00976 | iter_time=0.98s
Iter 73 | reward=8.71 | loss=0.01052 | iter_time=0.60s
Iter 74 | reward=5.13 | loss=0.00882 | iter_time=0.73s
Iter 75 | reward=19.29 | loss=0.00860 | iter_time=0.79s
Iter 76 | reward=5.01 | loss=0.00933 | iter_time=0.74s
Iter 77 | reward=4.45 | loss=0.00766 | iter_time=0.46s
Iter 78 | reward=6.05 | loss=0.00812 | iter_time=0.82s
Iter 79 | reward=29.82 | loss=0.00888 | iter_time=1.15s
Iter 80 | reward=22.57 | loss=0.00979 | iter_time=1.27s
Iter 81 | reward=30.95 | loss=0.00690 | iter_time=1.64s
Iter 82 | reward=151.77 | loss=0.00841 | iter_time=4.64s
Iter 83 | reward=101.76 | loss=0.00786 | iter_time=2.59s
Iter 84 | reward=44.37 | loss=0.00869 | iter_time=1.65s
Iter 85 | reward=8.80 | loss=0.00669 | iter_time=0.68s
Iter 86 | reward=9.98 | loss=0.01341 | iter_time=0.43s
Iter 87 | reward=25.58 | loss=0.00832 | iter_time=1.47s
Iter 88 | reward=4.85 | loss=0.00837 | iter_time=0.51s
Iter 89 | reward=62.92 | loss=0.00838 | iter_time=2.82s
Iter 90 | reward=19.95 | loss=0.00805 | iter_time=1.09s
Iter 91 | reward=102.55 | loss=0.00672 | iter_time=2.16s
Iter 92 | reward=15.12 | loss=0.00710 | iter_time=0.85s
Iter 93 | reward=37.93 | loss=0.00849 | iter_time=2.10s
Iter 94 | reward=66.92 | loss=0.00999 | iter_time=1.63s
Iter 95 | reward=41.32 | loss=0.00914 | iter_time=1.44s
Iter 96 | reward=42.05 | loss=0.00815 | iter_time=1.16s
Iter 97 | reward=20.97 | loss=0.00666 | iter_time=0.88s
Iter 98 | reward=41.32 | loss=0.00731 | iter_time=1.46s
Iter 99 | reward=43.32 | loss=0.00727 | iter_time=1.71s
Iter 100 | reward=15.13 | loss=0.00888 | iter_time=0.91s
Iter 101 | reward=19.35 | loss=0.00863 | iter_time=1.23s
Iter 102 | reward=200.81 | loss=0.00732 | iter_time=3.44s
Iter 103 | reward=38.54 | loss=0.00983 | iter_time=1.81s
Iter 104 | reward=133.01 | loss=0.00704 | iter_time=2.92s
Iter 105 | reward=5.86 | loss=0.00861 | iter_time=0.49s
Iter 106 | reward=60.40 | loss=0.00654 | iter_time=2.54s
Iter 107 | reward=51.49 | loss=0.00713 | iter_time=1.73s
Iter 108 | reward=41.98 | loss=0.00700 | iter_time=1.52s
Iter 109 | reward=18.77 | loss=0.00792 | iter_time=0.90s
Iter 110 | reward=39.25 | loss=0.00744 | iter_time=1.57s
Iter 111 | reward=6.36 | loss=0.00917 | iter_time=0.70s
Iter 112 | reward=56.86 | loss=0.00755 | iter_time=1.99s
Iter 113 | reward=69.70 | loss=0.00975 | iter_time=2.76s
Iter 114 | reward=119.86 | loss=0.00706 | iter_time=4.62s
Iter 115 | reward=12.45 | loss=0.00909 | iter_time=0.70s
Iter 116 | reward=36.12 | loss=0.00728 | iter_time=1.63s
Iter 117 | reward=27.49 | loss=0.00800 | iter_time=0.99s
Iter 118 | reward=8.99 | loss=0.00621 | iter_time=0.72s
Iter 119 | reward=18.06 | loss=0.01055 | iter_time=1.15s
Iter 120 | reward=9.36 | loss=0.00617 | iter_time=0.68s
Iter 121 | reward=33.68 | loss=0.00656 | iter_time=1.38s
Iter 122 | reward=11.11 | loss=0.01135 | iter_time=0.77s
Iter 123 | reward=29.37 | loss=0.00655 | iter_time=1.27s
Iter 124 | reward=14.75 | loss=0.00677 | iter_time=0.75s
Iter 125 | reward=23.60 | loss=0.00541 | iter_time=1.53s
Iter 126 | reward=14.48 | loss=0.00519 | iter_time=0.72s
Iter 127 | reward=4.67 | loss=0.00589 | iter_time=0.51s
Iter 128 | reward=6.96 | loss=0.00595 | iter_time=0.73s
Iter 129 | reward=8.24 | loss=0.00512 | iter_time=0.93s
Iter 130 | reward=138.06 | loss=0.00655 | iter_time=3.14s
Iter 131 | reward=5.64 | loss=0.00716 | iter_time=0.44s
Iter 132 | reward=19.65 | loss=0.00767 | iter_time=1.12s
Iter 133 | reward=14.76 | loss=0.00836 | iter_time=0.85s
Iter 134 | reward=10.74 | loss=0.00765 | iter_time=0.71s
Iter 135 | reward=16.25 | loss=0.00457 | iter_time=0.99s
Iter 136 | reward=16.80 | loss=0.00593 | iter_time=0.72s
Iter 137 | reward=4.95 | loss=0.00668 | iter_time=0.61s
Iter 138 | reward=71.13 | loss=0.00704 | iter_time=2.56s
Iter 139 | reward=56.57 | loss=0.00569 | iter_time=2.00s
Iter 140 | reward=11.66 | loss=0.00557 | iter_time=0.48s
Iter 141 | reward=7.67 | loss=0.00623 | iter_time=0.48s
Iter 142 | reward=117.06 | loss=0.00851 | iter_time=3.27s
Iter 143 | reward=75.62 | loss=0.00533 | iter_time=1.53s
Iter 144 | reward=9.36 | loss=0.01008 | iter_time=1.05s
Iter 145 | reward=10.71 | loss=0.00530 | iter_time=0.64s
Iter 146 | reward=62.77 | loss=0.00557 | iter_time=1.94s
Iter 147 | reward=10.43 | loss=0.00475 | iter_time=0.94s
Iter 148 | reward=19.42 | loss=0.00468 | iter_time=0.59s
Iter 149 | reward=63.74 | loss=0.01183 | iter_time=2.26s
Iter 150 | reward=75.34 | loss=0.01238 | iter_time=1.93s
Iter 151 | reward=13.76 | loss=0.00745 | iter_time=0.87s
Iter 152 | reward=9.37 | loss=0.00863 | iter_time=0.47s
Iter 153 | reward=12.53 | loss=0.00851 | iter_time=0.67s
Iter 154 | reward=19.60 | loss=0.00605 | iter_time=0.88s
Iter 155 | reward=48.49 | loss=0.00462 | iter_time=1.43s
Iter 156 | reward=51.07 | loss=0.00568 | iter_time=1.07s
Iter 157 | reward=5.41 | loss=0.00460 | iter_time=0.43s
Iter 158 | reward=6.22 | loss=0.00783 | iter_time=0.36s
Iter 159 | reward=14.34 | loss=0.00459 | iter_time=0.77s
Iter 160 | reward=12.53 | loss=0.00664 | iter_time=0.79s
Iter 161 | reward=81.18 | loss=0.00641 | iter_time=2.03s
Iter 162 | reward=136.22 | loss=0.00762 | iter_time=2.75s
Iter 163 | reward=5.59 | loss=0.00483 | iter_time=0.69s
Iter 164 | reward=5.21 | loss=0.00516 | iter_time=0.42s
Iter 165 | reward=6.43 | loss=0.00442 | iter_time=0.52s
Iter 166 | reward=19.77 | loss=0.00469 | iter_time=0.91s
Iter 167 | reward=18.20 | loss=0.00445 | iter_time=1.48s
Iter 168 | reward=6.76 | loss=0.00414 | iter_time=0.55s
Iter 169 | reward=17.73 | loss=0.00478 | iter_time=1.25s
Iter 170 | reward=19.23 | loss=0.00667 | iter_time=1.11s
Iter 171 | reward=8.08 | loss=0.00729 | iter_time=0.73s
Iter 172 | reward=17.31 | loss=0.00399 | iter_time=1.36s
Iter 173 | reward=30.03 | loss=0.00459 | iter_time=1.47s
Iter 174 | reward=81.32 | loss=0.00539 | iter_time=2.31s
Iter 175 | reward=87.27 | loss=0.00519 | iter_time=2.25s
Iter 176 | reward=6.66 | loss=0.00594 | iter_time=0.51s
Iter 177 | reward=56.09 | loss=0.00597 | iter_time=2.05s
Iter 178 | reward=76.06 | loss=0.00935 | iter_time=1.91s
Iter 179 | reward=6.68 | loss=0.00604 | iter_time=0.43s
Iter 180 | reward=15.89 | loss=0.00385 | iter_time=1.02s
Iter 181 | reward=15.96 | loss=0.00564 | iter_time=0.70s
Iter 182 | reward=51.51 | loss=0.00710 | iter_time=1.48s
Iter 183 | reward=3.89 | loss=0.00883 | iter_time=0.40s
Iter 184 | reward=6.96 | loss=0.00590 | iter_time=0.60s
Iter 185 | reward=4.54 | loss=0.00505 | iter_time=0.48s
Iter 186 | reward=8.52 | loss=0.00504 | iter_time=0.69s
Iter 187 | reward=4.88 | loss=0.00488 | iter_time=0.58s
Iter 188 | reward=15.50 | loss=0.00661 | iter_time=1.19s
Iter 189 | reward=106.82 | loss=0.00373 | iter_time=2.77s
Iter 190 | reward=7.72 | loss=0.00499 | iter_time=0.76s
Iter 191 | reward=62.49 | loss=0.00414 | iter_time=1.83s
Iter 192 | reward=9.53 | loss=0.00355 | iter_time=0.62s
Iter 193 | reward=7.76 | loss=0.00479 | iter_time=0.64s
Iter 194 | reward=10.53 | loss=0.00806 | iter_time=0.74s
Iter 195 | reward=48.58 | loss=0.00611 | iter_time=1.60s
Iter 196 | reward=15.81 | loss=0.00420 | iter_time=1.02s
Iter 197 | reward=21.44 | loss=0.00489 | iter_time=1.06s
Iter 198 | reward=78.37 | loss=0.00456 | iter_time=1.88s
Iter 199 | reward=7.88 | loss=0.00417 | iter_time=0.53s
Iter 200 | reward=5.21 | loss=0.00278 | iter_time=0.71s
Training finished. Elapsed: 00:04:06
Dynamics model saved to /global/D1/homes/ismailou/l2ra/learning_to_re_adapt/outputs/2025-10-23/mb_mpc_hopper_sanity_3/model.pt
Evaluating 10 episode(s) × 10 seed(s) = 100 total runs

Evaluation summary:
- reward_mean: 8.2956
- reward_std: 4.8324
- forward_progress_mean: -6.6406
- forward_progress_std: 1.1888
- elapsed: 00:39
